DEPARTMENT,DEPARTMENT_FULL,DESCRIPTION,HEAD_OF_THE_GROUP
,,,
AI&ML,AI&ML: Artificial Intelligence and Machine Learning group,"The Artificial Intelligence and Machine Learning group is one of the research groups of the Department of Information and Communication Technologies at the Universitat Pompeu Fabra (UPF) in Barcelona, Spain.

The group research covers a number of areas, including:

Automated planning: is the model-based approach to intelligent behavior, where behavior is not programmed or learned, but is derived effectively from a model of the agent goals, and the way that the actions and sensors work in the world.
Interactive machine learning: is a branch of machine learning concerned with sequential decision-making problems, where the goal is designing algorithms that optimize performance during the learning procedure itself, while facing an unknown and potentially non-stationary environment.
Learning theory: is the science of analyzing machine learning problems and algorithms, with the goal of characterizing the hardness of various learning scenarios and constructing algorithms with provable performance guarantees.
Probabilistic graphical models: are graph-based representations to encode compactly probability distributions over high-dimensional spaces. Our focus is on how to efficiently answer queries (inference) and how to learn the graph structure from data (learning).
Autonomous robotics: including the development of complete software architectures as well as the creation of base methodologies and tools for new advanced features. We combine reactive behaviour and motion planning with task planning, and use reasoning mechanisms to create robotics systems for challenges like RoboCup. 
Constraint Satisfaction Problems (CSPs): these problems consist of a set of variables, a domain of values than can be taken by the variables and a set of constraints specifying restrictions of the values that can be taken simultaneously by the variables. The task here is to decide whether there exist an assignment of variables to values satisfying all constraints.",Anders Jonsson
BERG,BERG Biomedical Electronics Research Group,"Our research is focused on bioelectrical phenomena and, in particular, on exploring the use of these phenomena for developing new methods and devices for biomedical applications. 

Currently our main research topics are in vivo electroporation, particularly for cancer treatments, and electrical stimulation for neuroprosthetics.",Antoni Ivorra
CMTECH,CMTECH: Cognitive Media Technologies Group,"CMTech is a research group belonging to the Information and Comunication Technologies Department (DTIC or ICT Department) of Universitat Pompeu Fabra (located in Barcelona). Its research is focussed on Computer Vision & Human-Computer Interaction to address human behavior understanding and interaction with the world, designing and analysing different cues related with human non-verbal communication. The Full-Body Interaction Laboratory (FuBIntLab) within the group focuses its research on how body, space and socialization can have an impact on HCI.",Xavier Binefa
CMTECH: Cognitive Media Technologies Group /MTG: Music Technology Group,CMTECH: Cognitive Media Technologies Group /MTG: Music Technology Group,,
Computational_Neuroscience,Computational Neuroscience,,
IP4EC,"IP4EC
Image processing
for enhanced cinematography",The Research Group on Image Processing for Enhanced Cinematography (IP4EC) is led by Dr. Marcelo Bertalmío. The objective of the group is to develop image processing algorithms for cinema that allow people watching a movie on a screen to see the same details and colors as people at the shooting location can.,Marcelo Bertalmío
IPG,IPG: Image Processing Group,We are interested in the development of models and algorithms for image processing and computer vision. ,Coloma Ballester
IPG: Image Processing Group /MTG: Music Technology Group,IPG: Image Processing Group /MTG: Music Technology Group,,
IPG: Image Processing Group/ MTG: Music Technology Group,IPG: Image Processing Group/ MTG: Music Technology Group,,
ITC,ITC: Information Theory and Coding Group,"The group was formed in 2011 and the main theme of its research activities is the mathematical foundations of communications and data compression, spanning the fields of Information Theory, Coding Theory, Communications Theory and Signal Processing. Its aim is to study the fundamental limits of reliable communication and data compression, along with schemes and processing algorithms that allow us to achieve them.
",Albert Guillén i Fàbregas
ITG,ITG: Interactive Technologies Group,"The GTI (Interactive Technologies Group) is a research group within the Department of Information and Communication Technologies at the Universitat Pompeu Fabra. The GTI focuses on human aspects and technology, especially those related to enhancing people’s use of computer technologies, including technological and HCI research. The group integrates researchers in the areas of Human-Computer Interaction and Advanced 3D Graphics.

The interdisciplinary research and technical skills of the GTI have been applied in a wide range of contexts, from ad-hoc usability studies and R+D projects in a wide variety of contexts (urban, social, and industry oriented) to the design and implementation of robots and telematics applications. The areas where the strengths of the group are particularly noticeable in the recent years are related to interactive systems, on-line interactive 3D graphics, augmented information access, digital inclusion, expressive avatars in media and serious games.",Josep Blat
MTG,MTG: Music Technology Group,"The Music Technology Group (MTG) of the Universitat Pompeu Fabra in Barcelona, part of its Department of Information and Communication Technologies, carries out research on topics such as audio signal processing, music information retrieval, musical interfaces, and computational musicology. The MTG wants to contribute to the improvement of the information and communication technologies related to sound and music, carrying out competitive research at the international level and at the same time transferring its results to society. To that goal, and guided by our values, the MTG aims at finding a balance between basic and applied research while promoting interdisciplinary approaches that incorporate knowledge and methodologies from both scientific/technological and humanistic/artistic disciplines.
",Xavier Serra
MTG: Music Technology Group / PHONOS,MTG: Music Technology Group / PHONOS,,
NLP,Natural Language Processing,"The TALN group, Tractament Automàtic del Llenguatge Natural (Natural Language Processing) is part of the Department of Information and Communication Technologies, at Pompeu Fabra University, in Barcelona. The group is organised into three research labs, each one led by a faculty member of the Department and integrated by post-docs, researchers and PhD students.
",Leo Wanner
NETS,NETS Network Technologies and Strategies Group,"The research group focuses its activities on the definition and the impact of the network technologies and strategies, especially of the mobile communications, in the society of knowledge. Therefore, from the technological point of view, the group's research is deployed around security aspects and Quality of Service issues on wireless communications, the design and planification of network and mobile protocols, alternative models of telecommunication operators, etc. This research is completed with the analysis of these technologies impact on the society and the evaluation of regulatory policies of telecommunication services. 

The research group acknowledges the multidisciplinar nature of today's communications by addressing the technical as well as the sociological, economic and policy aspects of the knowledge society. Hence, the group focuses its activities on the definition and the analysis of network technologies and strategies, especially in the area of mobile communications. Therefore, from the technological point of view, the group's research revolves around the following topics, among others:

Security aspects and Quality of Service issues on wireless communications
The design and analysis of network and mobile protocols
The merging of mobile and fixed networks
Alternative models for telecommunication operators
VoIP architectures
Information Technology Diffusion
Peer-to-peer Networks",Miquel Oliver
NTSA,NTSA: Nonlinear Time Series Analysis Group,"Our research is positioned at the interface between physics, applied mathematics, and neuroscience. One of our main targets is the development of innovative nonlinear time series analysis techniques. These techniques aim to characterize dynamical systems for which nonlinearities cause a complicated temporal evolution. A further main target of our work is the application of nonlinear time series techniques to electrophysiological recordings from the brain of epilepsy patients. We furthermore study coupled oscillator network models that show so-called chimera states.
",Ralph Gregor Andrzejak
Physense,Physense: Sensing in Physiology and Biomedicine Group,"PhySense aims at contributing to translational biomedicine, promoting ""reality-driven"" research underlining the concept that direct human observations are essential for the study of hypotheses relevant to human reality [Mankoff S, Journal of Translational Medicine 2004].

Reality-driven biomedical research is accompanied by important hurdles since interpreting complex observations and linking these to relevant basic and clinical understanding of the human and their diseases requires an interaction of basic scientists from all disciplines, technologists and computer scientists and clinical specialists, all speaking different languages.",Oscar Càmara
Research Service,Research Service,,
SIMBIOsys,"SIMBIOsys: Simulation, Imaging and Modelling for Biomedical Systems","SIMBIOsys is part of the research unit BCN Medtech, within the Department of Information and Communication Technologies of Universitat Pompeu Fabra (UPF) in Barcelona.

SIMBIOsys performs leading research on medical image analysis, machine learning and artificial intelligence for medicine, computational modelling and simulation, biomechanics and mechanobiology, and computer-assisted surgery, through an integrative research activity on mathematical and computational models, algorithms and systems for computer-aided diagnosis and treatment.

Our research group works closely with industrial and clinical partners, to develop biomedical applications and new demonstrative prototypes towards their final application in clinical routine.",Miguel A. Gonzalez Ballester
TALN,TALN; Natural Language Processing,"The TALN group, Tractament Automàtic del Llenguatge Natural (Natural Language Processing) is part of the Department of Information and Communication Technologies, at Pompeu Fabra University, in Barcelona. The group is organised into three research labs, each one led by a faculty member of the Department and integrated by post-docs, researchers and PhD students.
",Leo Wanner
